Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular,Internet_Access,Parent_Education,Family_Income,Stress_Level (1-10)
S1000,Maria,Williams,student0@univ.edu,Female,19,Business,56.98,46.15,84.44,77.27,79.52,4.1,54.68,61.633,F,4.6,Yes,No,High School,Medium,10
S1001,Liam,Williams,student1@univ.edu,Male,23,CS,67.01,49.33,97.43,66.83,54.64,10.6,92.37,80.1863,A,21.5,Yes,No,Master's,High,5
S1002,Emma,Davis,student2@univ.edu,Male,23,Mathematics,52.29,53.67,57.36,53.99,61.64,11.0,63.9,81.7842,C,7.9,No,Yes,Bachelor's,High,2
S1003,Ahmed,Davis,student3@univ.edu,Male,19,CS,68.97,99.37,78.4,77.85,84.23,84.4,88.8,61.4524,A,23.3,No,No,Master's,Low,10
S1004,Emma,Brown,student4@univ.edu,Female,21,CS,57.14,48.38,84.7,76.95,87.35,43.4,79.18,68.0998,B,16.2,Yes,Yes,Master's,Low,3
S1005,Sara,Davis,student5@univ.edu,Male,21,CS,79.79,68.08,55.08,77.66,97.12,68.3,55.73,94.2394,C,22.4,No,Yes,Bachelor's,Medium,3
S1006,Ali,Williams,student6@univ.edu,Female,22,Business,75.38,46.38,77.52,92.08,75.38,20.7,68.7,58.0775,F,26.0,No,No,Master's,Low,6
S1007,Liam,Brown,student7@univ.edu,Male,19,Mathematics,54.28,69.16,44.15,88.03,88.29,13.7,73.76,77.4902,C,16.7,No,Yes,,High,4
S1008,Liam,Smith,student8@univ.edu,Female,21,CS,56.05,53.48,60.29,79.42,61.51,22.8,53.55,81.5551,B,5.6,Yes,No,Master's,High,4
S1009,Liam,Johnson,student9@univ.edu,Female,19,Business,86.17,92.94,74.57,62.15,73.65,41.3,54.72,82.9491,C,14.2,No,Yes,Master's,Low,7
S1010,Emma,Williams,student10@univ.edu,Male,19,Business,76.81,48.41,51.01,73.13,93.72,8.5,90.4,92.7983,A,5.2,Yes,Yes,High School,Low,7
S1011,Ali,Smith,student11@univ.edu,Male,24,CS,95.12,49.88,40.13,69.52,96.33,78.7,64.26,84.8296,F,19.9,No,Yes,High School,Medium,4
S1012,Omar,Davis,student12@univ.edu,Male,23,Engineering,52.86,75.05,70.17,92.64,57.87,96.1,54.01,59.2912,F,5.6,Yes,No,Master's,High,4
S1013,Omar,Davis,student13@univ.edu,Male,21,Engineering,96.74,52.26,82.97,61.93,69.79,67.5,65.0,65.8089,A,4.2,Yes,Yes,,Low,9
S1014,Liam,Brown,student14@univ.edu,Female,18,Business,68.48,49.46,90.02,85.18,80.58,98.7,82.7,50.3912,F,11.2,Yes,Yes,Bachelor's,Low,2
S1015,Ahmed,Jones,student15@univ.edu,Female,22,Business,85.88,52.22,78.05,63.2,74.43,90.6,92.31,54.6149,D,23.9,Yes,Yes,Bachelor's,Low,5
S1016,Ahmed,Johnson,student16@univ.edu,Female,22,CS,78.05,46.71,96.7,84.55,57.45,4.6,68.46,77.6263,D,7.1,No,No,Master's,Medium,4
S1017,John,Johnson,student17@univ.edu,Male,20,CS,98.69,84.97,95.55,61.84,58.13,80.2,58.85,70.6147,B,21.7,No,No,High School,Medium,3
S1018,Maria,Smith,student18@univ.edu,Male,24,CS,61.12,89.0,67.62,65.26,89.77,23.5,51.18,59.6565,C,10.7,Yes,No,Bachelor's,High,9
S1019,Sara,Johnson,student19@univ.edu,Female,18,Mathematics,93.85,55.67,74.84,99.18,51.91,60.1,67.28,89.3214,D,18.5,Yes,No,,Low,5
